"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group B","high school","standard","none","63","74","72"
"female","group C","bachelor's degree","free/reduced","none","61","76","75"
"female","group C","master's degree","standard","completed","73","87","88"
"male","group C","associate's degree","free/reduced","none","53","40","41"
"male","group C","high school","free/reduced","none","44","44","38"
"male","group D","some college","standard","none","46","49","44"
"male","group C","some college","standard","none","70","67","62"
"female","group C","bachelor's degree","free/reduced","none","43","67","68"
"female","group A","bachelor's degree","free/reduced","completed","81","91","97"
"female","group D","associate's degree","free/reduced","none","78","88","91"
"female","group A","high school","standard","none","40","61","53"
"male","group D","some college","standard","completed","88","73","75"
"male","group D","some college","standard","none","81","73","73"
"male","group E","high school","free/reduced","none","91","72","72"
"female","group C","some college","free/reduced","none","48","70","68"
"male","group B","some college","standard","none","92","87","84"
"female","group C","some college","standard","none","85","99","96"
"female","group E","high school","free/reduced","completed","83","92","91"
"male","group B","master's degree","free/reduced","none","74","77","67"
"male","group C","some high school","standard","none","82","72","71"
"male","group E","high school","free/reduced","none","83","78","76"
"female","group D","associate's degree","standard","none","36","46","48"
"female","group D","high school","standard","completed","61","72","76"
"female","group C","some high school","free/reduced","none","48","60","57"
"male","group D","associate's degree","free/reduced","completed","77","71","73"
"female","group D","high school","standard","completed","71","85","82"
"male","group C","some college","standard","none","56","53","53"
"female","group B","bachelor's degree","free/reduced","completed","62","74","79"
"male","group C","high school","standard","none","91","86","83"
"male","group E","some high school","free/reduced","none","62","47","47"
"female","group E","some college","standard","none","68","74","73"
"male","group C","some high school","free/reduced","none","54","58","52"
"male","group B","some high school","free/reduced","none","59","58","51"
"female","group A","some high school","standard","completed","64","75","70"
"female","group D","associate's degree","standard","completed","75","86","88"
"male","group D","high school","free/reduced","completed","75","75","75"
"female","group E","associate's degree","standard","none","67","77","71"
"female","group D","master's degree","standard","none","80","79","89"
"male","group D","high school","standard","completed","73","67","69"
"male","group C","some college","standard","none","71","66","61"
"female","group C","some college","free/reduced","none","46","58","57"
"male","group B","bachelor's degree","free/reduced","none","49","41","45"
"female","group D","some high school","standard","none","82","96","89"
"male","group C","bachelor's degree","free/reduced","none","65","65","67"
"female","group B","associate's degree","free/reduced","completed","77","89","85"
"female","group C","some college","standard","none","58","60","59"
"female","group C","some college","standard","completed","60","73","72"
"female","group B","some high school","free/reduced","completed","54","65","55"
"male","group E","some high school","free/reduced","none","64","65","61"
"female","group D","bachelor's degree","standard","completed","93","96","100"
"female","group D","some high school","standard","completed","80","80","89"
"male","group B","bachelor's degree","free/reduced","none","85","84","79"
"male","group D","associate's degree","standard","none","48","32","36"
"male","group A","associate's degree","standard","none","51","50","47"
"female","group B","some high school","standard","completed","55","59","64"
"male","group C","some college","free/reduced","completed","40","41","42"
"male","group B","some high school","standard","completed","79","90","84"
"female","group C","high school","free/reduced","completed","34","49","46"
"female","group D","some college","standard","completed","67","84","76"
"female","group E","associate's degree","standard","completed","88","88","94"
"male","group C","associate's degree","standard","completed","78","83","73"
"male","group B","master's degree","free/reduced","completed","61","55","60"
"female","group C","associate's degree","standard","none","65","76","73"
"male","group B","high school","standard","none","54","51","42"
"male","group C","associate's degree","free/reduced","none","71","65","59"
"female","group E","master's degree","free/reduced","completed","74","80","81"
"male","group C","bachelor's degree","free/reduced","completed","63","72","71"
"female","group D","high school","free/reduced","none","65","72","73"
"female","group D","bachelor's degree","free/reduced","none","56","68","72"
"female","group D","associate's degree","free/reduced","none","55","61","58"
"female","group E","bachelor's degree","standard","completed","75","81","84"
"female","group D","some college","standard","none","94","90","92"
"female","group B","some high school","standard","none","38","53","54"
"female","group B","associate's degree","free/reduced","none","54","57","53"
"female","group D","some college","standard","none","73","79","83"
"female","group D","some college","standard","none","57","80","80"
"female","group E","some high school","standard","none","80","82","76"
"female","group B","some high school","free/reduced","none","59","75","78"
"female","group D","some high school","free/reduced","none","47","60","54"
"female","group B","some college","standard","none","53","54","52"
"female","group D","some high school","free/reduced","completed","55","64","62"
"female","group C","some college","free/reduced","none","48","58","56"
"female","group D","associate's degree","standard","none","89","100","99"
"female","group C","associate's degree","standard","none","61","59","63"
"female","group C","high school","standard","none","66","77","77"
"female","group B","high school","free/reduced","none","53","65","65"
"male","group D","associate's degree","standard","none","71","67","67"
"female","group E","high school","standard","completed","73","76","79"
"female","group C","associate's degree","free/reduced","none","54","76","65"
"male","group B","master's degree","standard","none","79","78","75"
"male","group D","some high school","free/reduced","none","41","35","35"
"female","group C","master's degree","standard","completed","74","84","89"
"female","group D","bachelor's degree","standard","none","72","78","78"
"male","group B","some college","standard","none","68","67","68"
"female","group D","high school","standard","none","88","90","94"
"male","group D","some college","free/reduced","completed","65","64","62"
"female","group C","some college","free/reduced","none","35","41","40"
"male","group C","associate's degree","standard","completed","84","86","83"
"female","group C","some college","standard","completed","93","97","96"
"female","group A","associate's degree","free/reduced","completed","57","67","65"
"female","group E","associate's degree","standard","none","81","62","70"
"male","group D","bachelor's degree","standard","none","86","84","86"
"female","group C","some high school","standard","none","42","49","53"
"female","group A","associate's degree","standard","none","83","92","94"
"female","group C","some college","standard","none","78","76","76"
"female","group A","bachelor's degree","standard","none","46","63","61"
"female","group C","master's degree","standard","completed","76","87","94"
"male","group A","associate's degree","standard","completed","88","70","82"
"male","group D","some college","free/reduced","none","66","66","64"
"female","group D","bachelor's degree","free/reduced","completed","80","98","100"
"male","group E","some high school","standard","none","69","47","49"
"male","group D","bachelor's degree","standard","completed","86","88","90"
"female","group D","master's degree","standard","none","92","100","100"
"male","group E","high school","standard","none","74","69","65"
"male","group B","some college","standard","none","45","49","45"
"female","group B","some college","standard","none","65","60","60"
"male","group E","master's degree","free/reduced","completed","72","65","62"
"female","group C","some college","standard","completed","95","96","97"
"female","group E","some college","standard","completed","63","61","67"
"female","group C","bachelor's degree","standard","none","61","70","71"
"male","group C","some high school","standard","none","62","58","53"
"male","group B","bachelor's degree","free/reduced","none","46","46","40"
"female","group C","associate's degree","standard","none","85","94","91"
"male","group B","high school","standard","none","74","75","63"
"female","group A","high school","standard","none","71","71","73"
"female","group E","associate's degree","standard","completed","79","89","89"
"male","group C","master's degree","standard","none","81","65","67"
"male","group E","bachelor's degree","standard","completed","87","77","78"
"male","group A","bachelor's degree","standard","none","67","63","61"
"female","group E","associate's degree","standard","completed","98","100","100"
"female","group A","high school","standard","none","52","64","60"
"female","group E","associate's degree","free/reduced","none","54","64","64"
